Gene,Mutation_Status,Risk_Score,Clinical_Significance
IDENTIFIER,No Mutation,1.3429371384157645,Benign
Gene title,No Mutation,1.3429371384157645,Benign
Gene symbol,No Mutation,1.3429371384157645,Benign
Gene ID,Mutation,2.3384192104739787,Pathogenic
UniGene title,No Mutation,1.3429371384157645,Benign
UniGene symbol,No Mutation,1.3429371384157645,Benign
UniGene ID,No Mutation,1.3429371384157645,Benign
Nucleotide Title,No Mutation,1.3429371384157645,Benign
GI,Mutation,3.748856407525212,Pathogenic
GenBank Accession,No Mutation,1.3429371384157645,Benign
Platform_CLONEID,No Mutation,1.3429371384157645,Benign
Platform_ORF,No Mutation,0.04723018648619075,Benign
Platform_SPOTID,No Mutation,0.04723018648619075,Benign
Chromosome location,Mutation,0.16838145740567262,Benign
Chromosome annotation,No Mutation,0.04723018648619075,Benign
GO:Function,No Mutation,0.04723018648619075,Benign
GO:Process,No Mutation,0.04723018648619075,Benign
GO:Component,No Mutation,0.04723018648619075,Benign
GO:Function ID,No Mutation,0.04723018648619075,Benign
GO:Process ID,No Mutation,0.04723018648619075,Benign
GO:Component ID,No Mutation,0.04723018648619075,Benign
"Couple’sNumber",Mutation,0.29260835614214115,Benign
Random Numbers,Mutation,0.2894723661614872,Benign
Genotype,Mutation,0.29362238976540184,Benign
GSM389652,Mutation,2.266861088648112,Pathogenic
GSM389653,Mutation,2.188488180794656,Benign
GSM389654,Mutation,1.9837141793598263,Benign
GSM389655,Mutation,1.8415344792088078,Benign
GSM389656,Mutation,3.2316075367028403,Pathogenic
GSM389657,Mutation,2.694291889543626,Pathogenic
GSM389658,Mutation,2.9132014380762303,Pathogenic
GSM389659,Mutation,1.8954467171112461,Benign
GSM389660,Mutation,2.633684628788726,Pathogenic
GSM389661,Mutation,3.325795396825124,Pathogenic
GSM389662,Mutation,2.2601835028698276,Benign
GSM389663,Mutation,3.1834463833002435,Pathogenic
GSM389664,Mutation,2.2623791542560094,Pathogenic
GSM389665,Mutation,3.318722815248458,Pathogenic
GSM389666,Mutation,2.4098760627030082,Pathogenic
GSM389667,Mutation,1.8619336661477333,Benign
GSM389668,Mutation,1.7241070584803566,Benign
GSM389669,Mutation,2.780007312004719,Pathogenic
GSM389670,Mutation,2.4448780038519864,Pathogenic
GSM389671,Mutation,1.772629255311608,Benign
GSM389672,Mutation,1.7973001030883422,Benign
GSM389673,Mutation,2.4007900415993766,Pathogenic
GSM389674,Mutation,1.788135568195192,Benign
GSM389675,Mutation,2.1083034555779774,Benign
GSM389676,Mutation,1.978463475823289,Benign
GSM389677,Mutation,2.8365362060511035,Pathogenic
GSM389678,Mutation,1.7380531621198683,Benign
GSM389679,Mutation,1.9253726776293216,Benign
GSM389680,Mutation,2.0702147879941357,Benign
