Sample,Cluster
1007_s_at,0
1053_at,1
117_at,1
121_at,0
1255_g_at,1
1294_at,0
1316_at,1
1320_at,1
1405_i_at,1
1431_at,1
1438_at,1
1487_at,0
1494_f_at,1
1598_g_at,0
160020_at,0
1729_at,1
1773_at,1
177_at,1
179_at,0
1861_at,1
200000_s_at,0
200001_at,0
200002_at,0
200003_s_at,0
200004_at,0
200005_at,0
200006_at,0
200007_at,0
200008_s_at,0
200009_at,0
200010_at,0
200011_s_at,0
200012_x_at,0
200013_at,0
200014_s_at,0
200015_s_at,0
200016_x_at,0
200017_at,0
200018_at,0
200019_s_at,0
200020_at,0
200021_at,0
200022_at,0
200023_s_at,0
200024_at,0
200025_s_at,0
200026_at,0
200027_at,0
200028_s_at,0
200029_at,0
200030_s_at,0
200031_s_at,0
200032_s_at,0
200033_at,0
200034_s_at,0
200035_at,0
200036_s_at,0
200037_s_at,0
200038_s_at,0
200039_s_at,0
200040_at,0
200041_s_at,0
200042_at,0
200043_at,0
200044_at,0
200045_at,0
200046_at,0
200047_s_at,0
200048_s_at,0
200049_at,1
200050_at,0
200051_at,1
200052_s_at,0
200053_at,0
200054_at,0
200055_at,0
200056_s_at,1
200057_s_at,0
200058_s_at,0
200059_s_at,0
200060_s_at,0
200061_s_at,0
200062_s_at,0
200063_s_at,0
200064_at,0
200065_s_at,0
200066_at,0
200067_x_at,0
200068_s_at,0
200069_at,1
200070_at,0
200071_at,1
200072_s_at,0
200073_s_at,0
200074_s_at,0
200075_s_at,0
200076_s_at,0
200077_s_at,0
200078_s_at,0
200079_s_at,0
200080_s_at,0
200081_s_at,0
200082_s_at,0
200083_at,0
200084_at,0
200085_s_at,0
200086_s_at,0
200087_s_at,0
200088_x_at,0
200089_s_at,0
200090_at,0
200091_s_at,0
200092_s_at,0
200093_s_at,0
200094_s_at,0
200095_x_at,0
200096_s_at,0
200097_s_at,0
200098_s_at,0
200099_s_at,0
200593_s_at,0
200594_x_at,0
200595_s_at,0
200596_s_at,0
200597_at,1
200598_s_at,0
200599_s_at,0
200600_at,0
200601_at,0
200602_at,0
200603_at,0
200604_s_at,0
200605_s_at,0
200606_at,0
200607_s_at,0
